id,category
1329509082626220033,1
1340933883584344064,0
1346358144176435201,2
1344375534139142145,2
1325992175218417665,0
1326170149137813504,0
1325922127237746688,1
1338493386949615616,0
1329054437592231939,0
1342089567508131840,1
1344819299802746880,0
1334506938055467009,0
1325906450879811585,0
1338524844913283074,0
1334293765763325954,0
1325801043838586882,2
1325778348841312262,2
1329055323286626304,2
1336193532973862921,1
1325770194740891649,1
1326156962179010560,0
1329373957129170944,2
1328875897756200962,1
1325855541369991170,0
1325690252745388034,0
1339932858673221639,2
1343018763721928704,2
1329104513303683073,2
1326174248583507968,0
1326139962681602048,1
1326207638510526464,1
1329062095116247041,0
1325770682664357889,2
1325965503001747456,0
1344283750658666500,2
1326130682721161216,2
1325770383623147521,2
1332948116614516741,0
1343574203455451137,1
1325709413961920512,0
1336779512558854148,0
1326117531132846081,0
1325995469223329792,2
1325806524577484801,1
1325673710129385472,1
1345097993968439296,2
1326215352330563584,0
1326415612269092864,2
1337601788636246023,0
1332586404702867456,1
1344513678054359041,1
1325961217345802241,2
1325770884553068545,2
1325770467978981377,0
1341435349906710537,1
1344056894869143553,2
1330869252740571136,2
1338707517065596929,1
1326080221422956545,0
1325770869600346112,2
1325702200220377088,1
1340328682678730752,0
1336428414350323714,0
1325770219986542593,2
1342876595426652160,1
1343044559866003456,2
1345136653661302785,0
1345484907922010116,2
1328313937130119169,0
1325999284832104449,2
1325780857626488838,1
1325879952085028868,2
1340030967151390720,2
1325708900126121987,1
1337747503165272064,2
1329073104023396352,2
1325884552011636736,2
1328869141617520640,1
1333442672871284742,1
1325932509809451009,0
1335567394702585857,2
1326090604074430464,1
1341203006977544192,1
1328761918694305793,1
1325866029923389440,2
1336230711490191360,2
1325726248967041026,0
1332436444187680772,2
1325670627655741440,0
1325671963537285120,1
1329059374933880839,2
1336407766412378113,1
1325816256805658624,0
1330056042831601664,0
1326237172878413827,0
1335710496100519936,1
1325770142236745730,1
1325804648981258240,2
1337584743311925248,0
1325782076810014720,2
1325942190539943937,2
1333131706329686020,1
1325674145498214400,1
1347213587471859712,0
1325894220314537987,0
1326032144800641025,0
1336519356080136192,0
1325770338517606400,1
1329213124969435145,2
1330288812744974337,1
1330359566475915266,0
1346651942303404032,1
1325937942423072769,0
1325818640613117952,0
1335123242533543936,1
1325908576548790272,2
1325770893172252674,2
1325796590234251264,0
1336218017013829635,2
1345335151744741376,0
1333574583946014721,2
1346207326773112832,0
1336317760628875264,0
1325903591077531650,2
1325746069007970304,0
1325677628871696385,1
1326176357278048258,2
1325833134252978180,1
1326925933962547201,1
1325807247553859587,2
1334455226145722371,1
1328341482546339840,1
1325835611689922562,2
1326151338212855808,0
1325796657892634629,0
1325805525913759746,1
1325836295084630026,0
1325911151008428033,2
1334553942315831301,1
1328765378462240769,2
1344159425557389313,2
1326062247412551681,1
1325671656883277824,0
1338390408112574464,1
1325746922439667713,0
1334280296003342338,1
1329206530311409665,1
1325770201108017152,2
1330694865043161089,1
